formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
4,"(x < 0.0) U[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.630625980900,0.000031531299,31.531299,general,3400
4,"(x < 0.0) U[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.645376284980,0.000032268814,32.268814,general,3500
4,"(x < 0.0) U[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.661409169980,0.000033070458,33.070458,general,3600
4,"(x < 0.0) U[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.675924055800,0.000033796203,33.796203,general,3700
4,"(x < 0.0) U[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.689945590840,0.000034497280,34.497280,general,3800
4,"(x < 0.0) U[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.704095357500,0.000035204768,35.204768,general,3900
4,"(x < 0.0) U[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.717841446700,0.000035892072,35.892072,general,4000
4,"(x < 0.0) U[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.797391215080,0.000039869561,39.869561,general,4100
4,"(x < 0.0) U[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.810501508420,0.000040525075,40.525075,general,4200
4,"(x < 0.0) U[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.824040717440,0.000041202036,41.202036,general,4300
4,"(x < 0.0) U[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.838039180000,0.000041901959,41.901959,general,4400
4,"(x < 0.0) U[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.850328861560,0.000042516443,42.516443,general,4500
4,"(x < 0.0) U[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.863538979900,0.000043176949,43.176949,general,4600
4,"(x < 0.0) U[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.875327311720,0.000043766366,43.766366,general,4700
4,"(x < 0.0) U[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.888104893280,0.000044405245,44.405245,general,4800
4,"(x < 0.0) U[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.901411070900,0.000045070554,45.070554,general,4900
4,"(x < 0.0) U[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.913822843360,0.000045691142,45.691142,general,5000
5,"G[0,1] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.002900705040,0.000000145035,0.145035,general,1
5,"G[0,100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005342118320,0.000000267106,0.267106,general,100
5,"G[0,200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006293975000,0.000000314699,0.314699,general,200
5,"G[0,300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006958585880,0.000000347929,0.347929,general,300
5,"G[0,400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007334213340,0.000000366711,0.366711,general,400
5,"G[0,500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007607890020,0.000000380395,0.380395,general,500
5,"G[0,600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008082765000,0.000000404138,0.404138,general,600
5,"G[0,700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008211362480,0.000000410568,0.410568,general,700
5,"G[0,800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008336077540,0.000000416804,0.416804,general,800
5,"G[0,900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008434585100,0.000000421729,0.421729,general,900
5,"G[0,1000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008426266740,0.000000421313,0.421313,general,1000
5,"G[0,1100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008567674140,0.000000428384,0.428384,general,1100
5,"G[0,1200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008622265800,0.000000431113,0.431113,general,1200
5,"G[0,1300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008521972500,0.000000426099,0.426099,general,1300
5,"G[0,1400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008596151660,0.000000429808,0.429808,general,1400
5,"G[0,1500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008516154960,0.000000425808,0.425808,general,1500
5,"G[0,1600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008477405900,0.000000423870,0.423870,general,1600
5,"G[0,1700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008559886600,0.000000427994,0.427994,general,1700
5,"G[0,1800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008512582480,0.000000425629,0.425629,general,1800
5,"G[0,1900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008572634120,0.000000428632,0.428632,general,1900
5,"G[0,2000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008496486600,0.000000424824,0.424824,general,2000
5,"G[0,2100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008541638400,0.000000427082,0.427082,general,2100
