timestamp,sizeN,M,approach,mean_elapsed_s,std_elapsed_s,formula,all_means
2025-12-15 14:22:26,5000,10,strict,2.781789,0.026093,"(x[t]<0.5) until_[0,100] (x[t]>-0.5)","[2.769860462;2.757873488;2.830007168;2.802592842;2.74401213;2.78084130799999;2.793059432;2.75318087900001;2.796425008;2.79003800000001]"
2025-12-15 14:23:21,5000,10,rosi,5.472428,0.040946,"(x[t]<0.5) until_[0,1000] (x[t]>-0.5)","[5.479799213;5.43119208099999;5.501804113;5.51242883499999;5.47546231200001;5.54092128100001;5.477494251;5.470753523;5.412480546;5.42194484200001]"
2025-12-15 14:23:48,5000,10,strict,2.726216,0.027531,"(x[t]<0.5) until_[0,1000] (x[t]>-0.5)","[2.78585927399999;2.711519333;2.725806472;2.691165049;2.708407683;2.73556457299999;2.750953244;2.73171727499999;2.698661926;2.722505459]"
2025-12-15 14:24:36,5000,10,rosi,4.756458,0.023872,"(ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))","[4.75961917000001;4.790294039;4.75442741900001;4.742860319;4.807722186;4.74712323500001;4.73868027200001;4.74709426199999;4.73585800700001;4.74090523800001]"
2025-12-15 14:24:39,5000,10,strict,0.298716,0.007104,"(ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))","[0.318370868;0.297281521;0.296161198;0.294183853000001;0.295277071;0.298747937999999;0.294984422;0.296992627;0.299515814;0.295640125999999]"
2025-12-15 14:26:32,5000,10,rosi,11.219659,0.134743,"(ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))))","[11.138498066;11.109369729;11.08979651;11.302278107;11.371708233;11.290466136;11.197860316;11.108887763;11.108024059;11.479696944]"
2025-12-15 14:26:38,5000,10,strict,0.623896,0.008283,"(ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))))","[0.634426145;0.632608917;0.634178473000002;0.628729167999999;0.623490856;0.618465916999999;0.611827868999999;0.615178823;0.623218682;0.616835824999998]"
2025-12-15 14:35:25,5000,10,rosi,52.545070,0.569863,"(ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))))))))","[52.9531869559999;52.6700921599999;51.847987571;52.6373006909999;53.6565138690001;52.5102226809998;51.6914770960001;52.444095393;52.152850037;52.88697315]"
2025-12-15 14:35:49,5000,10,strict,2.428186,0.012190,"(ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))))) and (ev_[0,10]((ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0)))) and (ev_[0,10]((ev_[0,10](x[t] > 0)) and (ev_[0,10](x[t] > 0))))))))))","[2.460295249;2.418071239;2.426434738;2.416365364;2.423417402;2.427381152;2.43032186699999;2.423095808;2.426303961;2.43017471899999]"
2025-12-15 14:36:19,5000,10,rosi,2.988252,0.004406,"(ev_[0,10] (alw_[0,10] (ev_[0,10] (alw_[0,10] (x[t] > 0)))))","[2.99561894499999;2.991684375;2.991666737;2.99065034;2.98747957399999;2.983759245;2.983370623;2.98673938899999;2.98978299999999;2.98177225799999]"
